iteration,instance,selection,crossover,mutation,elitism,asexual_reproduction,population,mutation_rate,generations,runtime,result
0,berlin52,tournament,single_point,swap,False,True,50,0.01,500,2.7239577770233154,10482.727169991535
1,berlin52,tournament,single_point,swap,False,True,50,0.01,1000,3.3755581378936768,11155.906004764405
2,berlin52,tournament,single_point,swap,False,True,50,0.01,2000,6.484337568283081,10228.081568312144
3,berlin52,tournament,single_point,swap,False,True,50,0.02,500,2.924715995788574,10429.249872569528
4,berlin52,tournament,single_point,swap,False,True,50,0.02,1000,3.0510857105255127,10714.097872402226
5,berlin52,tournament,single_point,swap,False,True,50,0.02,2000,5.86509370803833,10528.690152449848
6,berlin52,tournament,single_point,swap,False,True,50,0.05,500,1.903649091720581,14218.624233400917
7,berlin52,tournament,single_point,swap,False,True,50,0.05,1000,4.9745659828186035,13420.053491141498
8,berlin52,tournament,single_point,swap,False,True,50,0.05,2000,8.032215356826782,13118.342037386643
9,berlin52,tournament,single_point,swap,False,True,100,0.01,500,4.065897226333618,10625.499633410054
10,berlin52,tournament,single_point,swap,False,True,100,0.01,1000,6.109688997268677,10721.115545332012
11,berlin52,tournament,single_point,swap,False,True,100,0.01,2000,13.940562963485718,10475.414781750367
12,berlin52,tournament,single_point,swap,False,True,100,0.02,500,4.529720306396484,9976.690268404429
13,berlin52,tournament,single_point,swap,False,True,100,0.02,1000,6.3347625732421875,9921.910203530333
14,berlin52,tournament,single_point,swap,False,True,100,0.02,2000,13.923565864562988,10502.164494505803
15,berlin52,tournament,single_point,swap,False,True,100,0.05,500,5.215287923812866,12149.438343560194
16,berlin52,tournament,single_point,swap,False,True,100,0.05,1000,7.335344076156616,12531.86048373182
17,berlin52,tournament,single_point,swap,False,True,100,0.05,2000,14.533808946609497,12947.26225472235
18,berlin52,tournament,single_point,swap,False,True,200,0.01,500,7.150712251663208,11335.659036023077
19,berlin52,tournament,single_point,swap,False,True,200,0.01,1000,13.240695476531982,10812.548989539991
20,berlin52,tournament,single_point,swap,False,True,200,0.01,2000,26.17221713066101,9683.60036029659
21,berlin52,tournament,single_point,swap,False,True,200,0.02,500,8.911391019821167,9955.025892291173
22,berlin52,tournament,single_point,swap,False,True,200,0.02,1000,13.795310735702515,11924.668194371581
23,berlin52,tournament,single_point,swap,False,True,200,0.02,2000,27.752697467803955,10910.909405912835
24,berlin52,tournament,single_point,swap,False,True,200,0.05,500,8.110019445419312,12047.594000088216
25,berlin52,tournament,single_point,swap,False,True,200,0.05,1000,15.207387208938599,11590.252588716694
26,berlin52,tournament,single_point,swap,False,True,200,0.05,2000,30.113878965377808,12164.506832998348
0,eil51,tournament,single_point,swap,False,True,50,0.01,500,1.4196281433105469,539.2510782270083
1,eil51,tournament,single_point,swap,False,True,50,0.01,1000,3.5043797492980957,618.2140250944751
