iteration,selection,crossover,mutation,elitism,asexual_reproduction,population,mutation_rate,generations,runtime,result
0,roulette,single_point,swap,False,False,200,0.01,1000,6.1233861446380615,29669.31116738104
1,roulette,single_point,swap,False,True,200,0.01,1000,14.411557674407959,20617.91465650018
2,roulette,single_point,swap,True,False,200,0.01,1000,9.429574728012085,10719.86399538201
3,roulette,single_point,swap,True,True,200,0.01,1000,13.513444900512695,10796.707141080651
4,roulette,single_point,transposition,False,False,200,0.01,1000,11.05277705192566,29175.316384317426
5,roulette,single_point,transposition,False,True,200,0.01,1000,10.4768545627594,25906.88165612829
6,roulette,single_point,transposition,True,False,200,0.01,1000,10.558561086654663,25080.49863850729
7,roulette,single_point,transposition,True,True,200,0.01,1000,11.10896921157837,25700.427076457097
8,roulette,uniform,swap,False,False,200,0.01,1000,7.646182537078857,30922.2611968848
9,roulette,uniform,swap,False,True,200,0.01,1000,14.427350044250488,20457.97243566541
10,roulette,uniform,swap,True,False,200,0.01,1000,10.099099159240723,12774.088137988672
11,roulette,uniform,swap,True,True,200,0.01,1000,14.632298469543457,11204.93996024447
12,roulette,uniform,transposition,False,False,200,0.01,1000,13.964844465255737,29639.901986871566
13,roulette,uniform,transposition,False,True,200,0.01,1000,12.780904531478882,25226.60210083648
14,roulette,uniform,transposition,True,False,200,0.01,1000,12.681715250015259,25692.648593894894
15,roulette,uniform,transposition,True,True,200,0.01,1000,12.621974229812622,25648.183537793248
16,tournament,single_point,swap,False,False,200,0.01,1000,5.045338153839111,27808.45244294582
17,tournament,single_point,swap,False,True,200,0.01,1000,12.826530933380127,11103.277410836381
18,tournament,single_point,swap,True,False,200,0.01,1000,11.486972570419312,10476.382501551123
19,tournament,single_point,swap,True,True,200,0.01,1000,12.818748712539673,10477.620784375587
20,tournament,single_point,transposition,False,False,200,0.01,1000,4.395652770996094,27542.499147810624
21,tournament,single_point,transposition,False,True,200,0.01,1000,10.169187307357788,25365.16106535611
22,tournament,single_point,transposition,True,False,200,0.01,1000,10.709919691085815,23785.06011662884
23,tournament,single_point,transposition,True,True,200,0.01,1000,11.214639663696289,25203.490092156942
24,tournament,uniform,swap,False,False,200,0.01,1000,8.996878147125244,29896.22357366862
25,tournament,uniform,swap,False,True,200,0.01,1000,14.950580835342407,10272.411384412506
26,tournament,uniform,swap,True,False,200,0.01,1000,8.796619176864624,24385.338821742956
27,tournament,uniform,swap,True,True,200,0.01,1000,14.222238540649414,10095.18285005169
28,tournament,uniform,transposition,False,False,200,0.01,1000,5.0555033683776855,30102.93846566792
29,tournament,uniform,transposition,False,True,200,0.01,1000,12.67794132232666,25237.44202680806
30,tournament,uniform,transposition,True,False,200,0.01,1000,10.345733404159546,26132.377442325393
31,tournament,uniform,transposition,True,True,200,0.01,1000,12.65786623954773,24920.95496271907
