"berlin52,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:100,mutation_rate:0.02,generations:500,runtime:4.529720306396484"
Generation,Min Distance,Avg Distance
50,14902.31561314346,16244.908807658425
100,12207.620215485113,13415.613093977277
150,11376.562371469474,12569.149703012554
200,10896.35996217947,12337.525355171687
250,10554.416459695221,12015.457268182068
300,10213.725989280887,11565.731578437
350,9976.690268404429,11299.903880369422
400,9976.690268404429,11319.392192192605
450,9976.690268404429,11258.52815615433
500,9976.690268404429,11509.207810742342
