"eil51,select_tournament,crossover_single_point,mutate_swap,elitism:False,asexual_reproduction:True,population:50,mutation_rate:0.05,generations:1000,runtime:3.328500747680664"
Generation,Min Distance,Avg Distance
100,903.0698215573309,1049.8209567047165
200,941.8528450903038,1091.7753507023378
300,900.4433599326961,1027.3826661611863
400,881.146807986517,1051.5597913129623
500,906.6531352524762,1050.867241985289
600,885.3337061009012,1039.8497493575235
700,885.2019193292285,1024.595694481447
800,849.0946452891446,1006.5724553357849
900,1003.6484348490313,1185.4782300074814
1000,964.9818797337659,1074.1413111219315
